VERTEX =  540
283 230 0
307 205 0
324 164 0
324 115 0
307 77 0
270 38 0
223 6 0
195 -44 0
184 -91 0
190 -137 0
194 -179 0
185 -211 0
142 -239 0
68 -241 0
35 -241 0
278 230 -49
302 205 -53
319 164 -56
319 115 -56
302 77 -53
265 38 -46
219 6 -38
192 -44 -33
181 -91 -31
187 -137 -32
191 -179 -33
182 -211 -32
139 -239 -24
66 -241 -11
34 -241 -6
265 230 -96
288 205 -105
304 164 -110
304 115 -110
288 77 -105
253 38 -92
209 6 -76
183 -44 -66
172 -91 -62
178 -137 -64
182 -179 -66
173 -211 -63
133 -239 -48
63 -241 -23
32 -241 -11
245 230 -141
265 205 -153
280 164 -162
280 115 -162
265 77 -153
233 38 -135
193 6 -111
168 -44 -97
159 -91 -92
164 -137 -95
168 -179 -97
160 -211 -92
122 -239 -71
58 -241 -34
30 -241 -17
216 230 -181
235 205 -197
248 164 -208
248 115 -208
235 77 -197
206 38 -173
170 6 -143
149 -44 -125
140 -91 -118
145 -137 -122
148 -179 -124
141 -211 -118
108 -239 -91
52 -241 -43
26 -241 -22
181 230 -216
197 205 -235
208 164 -248
208 115 -248
197 77 -235
173 38 -206
143 6 -170
125 -44 -149
118 -91 -140
122 -137 -145
124 -179 -148
118 -211 -141
91 -239 -108
43 -241 -52
22 -241 -26
141 230 -245
153 205 -265
161 164 -280
161 115 -280
153 77 -265
134 38 -233
111 6 -193
97 -44 -168
91 -91 -159
94 -137 -164
96 -179 -168
92 -211 -160
70 -239 -122
33 -241 -58
17 -241 -30
96 230 -265
105 205 -288
110 164 -304
110 115 -304
105 77 -288
92 38 -253
76 6 -209
66 -44 -183
62 -91 -172
64 -137 -178
66 -179 -182
63 -211 -173
48 -239 -133
23 -241 -63
11 -241 -32
49 230 -278
53 205 -302
56 164 -319
56 115 -319
53 77 -302
46 38 -265
38 6 -219
33 -44 -192
31 -91 -181
32 -137 -187
33 -179 -191
32 -211 -182
24 -239 -139
11 -241 -66
6 -241 -34
0 230 -283
0 205 -307
0 164 -324
0 115 -324
0 77 -307
0 38 -270
0 6 -223
0 -44 -195
0 -91 -184
0 -137 -190
0 -179 -194
0 -211 -185
0 -239 -142
0 -241 -68
0 -241 -35
-49 230 -278
-53 205 -302
-56 164 -319
-56 115 -319
-53 77 -302
-46 38 -265
-38 6 -219
-33 -44 -192
-31 -91 -181
-32 -137 -187
-33 -179 -191
-32 -211 -182
-24 -239 -139
-11 -241 -66
-6 -241 -34
-96 230 -265
-105 205 -288
-110 164 -304
-110 115 -304
-105 77 -288
-92 38 -253
-76 6 -209
-66 -44 -183
-62 -91 -172
-64 -137 -178
-66 -179 -182
-63 -211 -173
-48 -239 -133
-23 -241 -63
-11 -241 -32
-141 230 -245
-153 205 -265
-162 164 -280
-162 115 -280
-153 77 -265
-135 38 -233
-111 6 -193
-97 -44 -168
-92 -91 -159
-95 -137 -164
-97 -179 -168
-92 -211 -160
-71 -239 -122
-34 -241 -58
-17 -241 -30
-181 230 -216
-197 205 -235
-208 164 -248
-208 115 -248
-197 77 -235
-173 38 -206
-143 6 -170
-125 -44 -149
-118 -91 -140
-122 -137 -145
-124 -179 -148
-118 -211 -141
-91 -239 -108
-43 -241 -52
-22 -241 -26
-216 230 -181
-235 205 -197
-248 164 -208
-248 115 -208
-235 77 -197
-206 38 -173
-170 6 -143
-149 -44 -125
-140 -91 -118
-145 -137 -122
-148 -179 -124
-141 -211 -118
-108 -239 -91
-52 -241 -43
-26 -241 -22
-245 230 -141
-265 205 -153
-280 164 -162
-280 115 -162
-265 77 -153
-233 38 -135
-193 6 -111
-168 -44 -97
-159 -91 -92
-164 -137 -95
-168 -179 -97
-160 -211 -92
-122 -239 -71
-58 -241 -34
-30 -241 -17
-265 230 -96
-288 205 -105
-304 164 -110
-304 115 -110
-288 77 -105
-253 38 -92
-209 6 -76
-183 -44 -66
-172 -91 -62
-178 -137 -64
-182 -179 -66
-173 -211 -63
-133 -239 -48
-63 -241 -23
-32 -241 -11
-278 230 -49
-302 205 -53
-319 164 -56
-319 115 -56
-302 77 -53
-265 38 -46
-219 6 -38
-192 -44 -33
-181 -91 -31
-187 -137 -32
-191 -179 -33
-182 -211 -32
-139 -239 -24
-66 -241 -11
-34 -241 -6
-283 230 0
-307 205 0
-324 164 0
-324 115 0
-307 77 0
-270 38 0
-223 6 0
-195 -44 0
-184 -91 0
-190 -137 0
-194 -179 0
-185 -211 0
-142 -239 0
-68 -241 0
-35 -241 0
-278 230 49
-302 205 53
-319 164 56
-319 115 56
-302 77 53
-265 38 46
-219 6 38
-192 -44 33
-181 -91 31
-187 -137 32
-191 -179 33
-182 -211 32
-139 -239 24
-66 -241 11
-34 -241 6
-265 230 96
-288 205 105
-304 164 110
-304 115 110
-288 77 105
-253 38 92
-209 6 76
-183 -44 66
-172 -91 62
-178 -137 64
-182 -179 66
-173 -211 63
-133 -239 48
-63 -241 23
-32 -241 11
-245 230 141
-265 205 153
-280 164 162
-280 115 162
-265 77 153
-233 38 135
-193 6 111
-168 -44 97
