VERTEX = 212
0.000000 100.000000 0.000000
-0.000000 -100.000000 0.000000
-10.395585 97.814760 0.000000
-20.336832 91.354546 0.000000
-29.389263 80.901699 0.000000
-37.157241 66.913061 0.000000
-43.301270 50.000000 0.000000
-47.552826 30.901699 0.000000
-49.726095 10.452846 0.000000
-49.726095 -10.452846 0.000000
-47.552826 -30.901699 0.000000
-43.301270 -50.000000 0.000000
-37.157241 -66.913061 0.000000
-29.389263 -80.901699 0.000000
-20.336832 -91.354546 0.000000
-10.395585 -97.814760 0.000000
-9.496839 97.814760 4.228265
-18.578621 91.354546 8.271735
-26.848427 80.901699 11.953690
-33.944829 66.913061 15.113212
-39.557679 50.000000 17.612213
-43.441668 30.901699 19.341477
-45.427048 10.452846 20.225425
-45.427048 -10.452846 20.225425
-43.441668 -30.901699 19.341477
-39.557679 -50.000000 17.612213
-33.944829 -66.913061 15.113212
-26.848427 -80.901699 11.953690
-18.578621 -91.354546 8.271735
-9.496839 -97.814760 4.228265
-6.956004 97.814760 7.725425
-13.607997 91.354546 15.113212
-19.665255 80.901699 21.840478
-24.863047 66.913061 27.613212
-28.974205 50.000000 32.179115
-31.819051 30.901699 35.338636
-33.273252 10.452846 36.953690
-33.273252 -10.452846 36.953690
-31.819051 -30.901699 35.338636
-28.974205 -50.000000 32.179115
-24.863047 -66.913061 27.613212
-19.665255 -80.901699 21.840478
-13.607997 -91.354546 15.113212
-6.956004 -97.814760 7.725425
-3.212412 97.814760 9.886788
-6.284427 91.354546 19.341477
-9.081782 80.901699 27.950850
-11.482219 66.913061 35.338636
-13.380828 50.000000 41.181955
-14.694631 30.901699 45.225425
-15.366208 10.452846 47.292326
-15.366208 -10.452846 47.292326
-14.694631 -30.901699 45.225425
-13.380828 -50.000000 41.181955
-11.482219 -66.913061 35.338636
-9.081782 -80.901699 27.950850
-6.284427 -91.354546 19.341477
-3.212412 -97.814760 9.886788
1.086634 97.814760 10.338636
2.125778 91.354546 20.225425
3.072014 80.901699 29.228265
3.883989 66.913061 36.953690
4.526215 50.000000 43.064061
4.970624 30.901699 47.292326
5.197792 10.452846 49.453690
5.197792 -10.452846 49.453690
4.970624 -30.901699 47.292326
4.526215 -50.000000 43.064061
3.883989 -66.913061 36.953690
3.072014 -80.901699 29.228265
2.125778 -91.354546 20.225425
1.086634 -97.814760 10.338636
5.197792 97.814760 9.002840
10.168416 91.354546 17.612213
14.694631 80.901699 25.451848
18.578621 66.913061 32.179115
21.650635 50.000000 37.500000
23.776413 30.901699 41.181955
24.863047 10.452846 43.064061
24.863047 -10.452846 43.064061
23.776413 -30.901699 41.181955
21.650635 -50.000000 37.500000
18.578621 -66.913061 32.179115
14.694631 -80.901699 25.451848
10.168416 -91.354546 17.612213
5.197792 -97.814760 9.002840
8.410205 97.814760 6.110371
16.452843 91.354546 11.953690
23.776413 80.901699 17.274575
30.060840 66.913061 21.840478
35.031463 50.000000 25.451848
38.471044 30.901699 27.950850
40.229256 10.452846 29.228265
40.229256 -10.452846 29.228265
38.471044 -30.901699 27.950850
35.031463 -50.000000 25.451848
30.060840 -66.913061 21.840478
23.776413 -80.901699 17.274575
16.452843 -91.354546 11.953690
8.410205 -97.814760 6.110371
10.168416 97.814760 2.161364
19.892424 91.354546 4.228265
28.747037 80.901699 6.110371
36.345266 66.913061 7.725425
42.355034 50.000000 9.002840
46.513682 30.901699 9.886788
48.639460 10.452846 10.338636
48.639460 -10.452846 10.338636
46.513682 -30.901699 9.886788
42.355034 -50.000000 9.002840
36.345266 -66.913061 7.725425
28.747037 -80.901699 6.110371
19.892424 -91.354546 4.228265
10.168416 -97.814760 2.161364
10.168416 97.814760 -2.161364
19.892424 91.354546 -4.228265
28.747037 80.901699 -6.110371
36.345266 66.913061 -7.725425
42.355034 50.000000 -9.002840
46.513682 30.901699 -9.886788
48.639460 10.452846 -10.338636
48.639460 -10.452846 -10.338636
46.513682 -30.901699 -9.886788
42.355034 -50.000000 -9.002840
36.345266 -66.913061 -7.725425
28.747037 -80.901699 -6.110371
19.892424 -91.354546 -4.228265
10.168416 -97.814760 -2.161364
8.410205 97.814760 -6.110371
16.452843 91.354546 -11.953690
23.776413 80.901699 -17.274575
30.060840 66.913061 -21.840478
35.031463 50.000000 -25.451848
38.471044 30.901699 -27.950850
40.229256 10.452846 -29.228265
40.229256 -10.452846 -29.228265
38.471044 -30.901699 -27.950850
