VERTEX = 212
0.000000 -100.000000 0.000000
0.000000 100.000000 0.000000
-20.791169 -97.814760 -0.000000
-40.673664 -91.354546 -0.000000
-58.778525 -80.901699 -0.000000
-74.314483 -66.913061 -0.000000
-86.602540 -50.000000 -0.000000
-95.105652 -30.901699 -0.000000
-99.452190 -10.452846 -0.000000
-99.452190 10.452846 -0.000000
-95.105652 30.901699 -0.000000
-86.602540 50.000000 -0.000000
-74.314483 66.913061 -0.000000
-58.778525 80.901699 -0.000000
-40.673664 91.354546 -0.000000
-20.791169 97.814760 -0.000000
-18.993678 -97.814760 -8.456530
-37.157241 -91.354546 -16.543470
-53.696855 -80.901699 -23.907380
-67.889658 -66.913061 -30.226423
-79.115357 -50.000000 -35.224427
-86.883336 -30.901699 -38.682953
-90.854096 -10.452846 -40.450850
-90.854096 10.452846 -40.450850
-86.883336 30.901699 -38.682953
-79.115357 50.000000 -35.224427
-67.889658 66.913061 -30.226423
-53.696855 80.901699 -23.907380
-37.157241 91.354546 -16.543470
-18.993678 97.814760 -8.456530
-13.912008 -97.814760 -15.450850
-27.215994 -91.354546 -30.226423
-39.330510 -80.901699 -43.680957
-49.726095 -66.913061 -55.226423
-57.948410 -50.000000 -64.358230
-63.638102 -30.901699 -70.677273
-66.546504 -10.452846 -73.907380
-66.546504 10.452846 -73.907380
-63.638102 30.901699 -70.677273
-57.948410 50.000000 -64.358230
-49.726095 66.913061 -55.226423
-39.330510 80.901699 -43.680957
-27.215994 91.354546 -30.226423
-13.912008 97.814760 -15.450850
-6.424825 -97.814760 -19.773577
-12.568853 -91.354546 -38.682953
-18.163563 -80.901699 -55.901699
-22.964438 -66.913061 -70.677273
-26.761657 -50.000000 -82.363910
-29.389263 -30.901699 -90.450850
-30.732417 -10.452846 -94.584653
-30.732417 10.452846 -94.584653
-29.389263 30.901699 -90.450850
-26.761657 50.000000 -82.363910
-22.964438 66.913061 -70.677273
-18.163563 80.901699 -55.901699
-12.568853 91.354546 -38.682953
-6.424825 97.814760 -19.773577
2.173269 -97.814760 -20.677273
4.251556 -91.354546 -40.450850
6.144029 -80.901699 -58.456530
7.767979 -66.913061 -73.907380
9.052430 -50.000000 -86.128123
9.941248 -30.901699 -94.584653
10.395585 -10.452846 -98.907380
10.395585 10.452846 -98.907380
9.941248 30.901699 -94.584653
9.052430 50.000000 -86.128123
7.767979 66.913061 -73.907380
6.144029 80.901699 -58.456530
4.251556 91.354546 -40.450850
2.173269 97.814760 -20.677273
10.395585 -97.814760 -18.005681
20.336832 -91.354546 -35.224427
29.389263 -80.901699 -50.903696
37.157241 -66.913061 -64.358230
43.301270 -50.000000 -75.000000
47.552826 -30.901699 -82.363910
49.726095 -10.452846 -86.128123
49.726095 10.452846 -86.128123
47.552826 30.901699 -82.363910
43.301270 50.000000 -75.000000
37.157241 66.913061 -64.358230
29.389263 80.901699 -50.903696
20.336832 91.354546 -35.224427
10.395585 97.814760 -18.005681
16.820409 -97.814760 -12.220743
32.905686 -91.354546 -23.907380
47.552826 -80.901699 -34.549150
60.121679 -66.913061 -43.680957
70.062927 -50.000000 -50.903696
76.942088 -30.901699 -55.901699
80.458511 -10.452846 -58.456530
80.458511 10.452846 -58.456530
76.942088 30.901699 -55.901699
70.062927 50.000000 -50.903696
60.121679 66.913061 -43.680957
47.552826 80.901699 -34.549150
32.905686 91.354546 -23.907380
16.820409 97.814760 -12.220743
20.336832 -97.814760 -4.322727
39.784847 -91.354546 -8.456530
57.494073 -80.901699 -12.220743
72.690533 -66.913061 -15.450850
84.710067 -50.000000 -18.005681
93.027365 -30.901699 -19.773577
97.278921 -10.452846 -20.677273
97.278921 10.452846 -20.677273
93.027365 30.901699 -19.773577
84.710067 50.000000 -18.005681
72.690533 66.913061 -15.450850
57.494073 80.901699 -12.220743
39.784847 91.354546 -8.456530
20.336832 97.814760 -4.322727
20.336832 -97.814760 4.322727
39.784847 -91.354546 8.456530
57.494073 -80.901699 12.220743
72.690533 -66.913061 15.450850
84.710067 -50.000000 18.005681
93.027365 -30.901699 19.773577
97.278921 -10.452846 20.677273
97.278921 10.452846 20.677273
93.027365 30.901699 19.773577
84.710067 50.000000 18.005681
72.690533 66.913061 15.450850
57.494073 80.901699 12.220743
39.784847 91.354546 8.456530
20.336832 97.814760 4.322727
16.820409 -97.814760 12.220743
32.905686 -91.354546 23.907380
47.552826 -80.901699 34.549150
