VERTEX = 240
-100.000000 50.000000 0.000000
-120.336832 45.677273 0.000000
-137.157241 33.456530 0.000000
-147.552826 15.450850 0.000000
-149.726095 -5.226423 0.000000
-143.301270 -25.000000 0.000000
-129.389263 -40.450850 0.000000
-110.395585 -48.907380 0.000000
-89.604415 -48.907380 0.000000
-70.610737 -40.450850 0.000000
-56.698730 -25.000000 0.000000
-50.273905 -5.226423 0.000000
-52.447174 15.450850 0.000000
-62.842759 33.456530 0.000000
-79.663168 45.677273 0.000000
-100.000000 50.000000 0.000000
-91.354546 50.000000 40.673664
-109.933166 45.677273 48.945399
-125.299375 33.456530 55.786876
-134.796214 15.450850 60.015141
-136.781594 -5.226423 60.899089
-130.912224 -25.000000 58.285878
-118.202973 -40.450850 52.627354
-100.851385 -48.907380 44.901929
-81.857707 -48.907380 36.445399
-64.506118 -40.450850 28.719974
-51.796867 -25.000000 23.061451
-45.927498 -5.226423 20.448239
-47.912878 15.450850 21.332188
-57.409717 33.456530 25.560453
-72.775925 45.677273 32.401929
-91.354546 50.000000 40.673664
-66.913061 50.000000 74.314483
-80.521057 45.677273 89.427694
-91.776108 33.456530 101.927694
-98.732112 15.450850 109.653119
-100.186313 -5.226423 111.268173
-95.887266 -25.000000 106.493597
-86.578316 -40.450850 96.154961
-73.869064 -48.907380 82.039907
-59.957057 -48.907380 66.589058
-47.247806 -40.450850 52.474004
-37.938855 -25.000000 42.135368
-33.639809 -5.226423 37.360793
-35.094009 15.450850 38.975846
-42.050013 33.456530 46.701271
-53.305064 45.677273 59.201271
-66.913061 50.000000 74.314483
-30.901699 50.000000 95.105652
-37.186126 45.677273 114.447128
-42.383918 33.456530 130.444288
-45.596331 15.450850 140.331076
-46.267908 -5.226423 142.397978
-44.282528 -25.000000 136.287607
-39.983481 -40.450850 123.056501
-34.114112 -48.907380 104.992440
-27.689287 -48.907380 85.218863
-21.819918 -40.450850 67.154802
-17.520871 -25.000000 53.923696
-15.535491 -5.226423 47.813325
-16.207068 15.450850 49.880227
-19.419480 33.456530 59.767015
-24.617273 45.677273 75.764175
-30.901699 50.000000 95.105652
10.452846 50.000000 99.452190
12.578624 45.677273 119.677614
14.336836 33.456530 136.405880
15.423470 15.450850 146.744516
15.650639 -5.226423 148.905880
14.979062 -25.000000 142.516251
13.524861 -40.450850 128.680455
11.539481 -48.907380 109.790826
9.366212 -48.907380 89.113553
7.380832 -40.450850 70.223924
5.926631 -25.000000 56.388128
5.255054 -5.226423 49.998500
5.482223 15.450850 52.159863
6.568857 33.456530 62.498500
8.327069 45.677273 79.226765
10.452846 50.000000 99.452190
50.000000 50.000000 86.602540
60.168416 45.677273 104.214754
68.578621 33.456530 118.781655
73.776413 15.450850 127.784496
74.863047 -5.226423 129.666602
71.650635 -25.000000 124.102540
64.694631 -40.450850 112.054388
55.197792 -48.907380 95.605381
44.802208 -48.907380 77.599700
35.305369 -40.450850 61.150692
28.349365 -25.000000 49.102540
25.136953 -5.226423 43.538479
26.223587 15.450850 45.420585
31.421379 33.456530 54.423426
39.831584 45.677273 68.990327
50.000000 50.000000 86.602540
80.901699 50.000000 58.778525
97.354542 45.677273 70.732215
110.962539 33.456530 80.619004
119.372744 15.450850 86.729375
121.130955 -5.226423 88.006790
115.933163 -25.000000 84.230373
104.678112 -40.450850 76.053100
89.311904 -48.907380 64.888897
72.491495 -48.907380 52.668154
57.125287 -40.450850 41.503950
45.870236 -25.000000 33.326677
40.672444 -5.226423 29.550260
42.430655 15.450850 30.827676
50.840860 33.456530 36.938047
64.448857 45.677273 46.824835
80.901699 50.000000 58.778525
97.814760 50.000000 20.791169
117.707184 45.677273 25.019434
134.160026 33.456530 28.516594
144.328443 15.450850 30.677958
146.454220 -5.226423 31.129806
140.169794 -25.000000 29.794009
126.561797 -40.450850 26.901540
107.983176 -48.907380 22.952533
87.646344 -48.907380 18.629806
69.067723 -40.450850 14.680798
55.459727 -25.000000 11.788329
49.175300 -5.226423 10.452533
51.301078 15.450850 10.904381
61.469494 33.456530 13.065744
77.922336 45.677273 16.562904
97.814760 50.000000 20.791169
97.814760 50.000000 -20.791169
117.707184 45.677273 -25.019434
134.160026 33.456530 -28.516594
144.328443 15.450850 -30.677958
146.454220 -5.226423 -31.129806
140.169794 -25.000000 -29.794009
126.561797 -40.450850 -26.901540
107.983176 -48.907380 -22.952533
87.646344 -48.907380 -18.629806
69.067723 -40.450850 -14.680798
55.459727 -25.000000 -11.788329
49.175300 -5.226423 -10.452533
51.301078 15.450850 -10.904381
61.469494 33.456530 -13.065744
77.922336 45.677273 -16.562904
97.814760 50.000000 -20.791169
80.901699 50.000000 -58.778525
97.354542 45.677273 -70.732215
110.962539 33.456530 -80.619004
119.372744 15.450850 -86.729375
121.130955 -5.226423 -88.006790
115.933163 -25.000000 -84.230373
104.678112 -40.450850 -76.053100
89.311904 -48.907380 -64.888897
